,customer_id,item_id
0,0.0,116.0
1,0.0,45.0
2,0.0,87.0
3,0.0,145.0
4,0.0,82.0
5,0.0,61.0
6,0.0,157.0
7,0.0,102.0
8,0.0,28.0
9,0.0,133.0
10,1.0,121.0
11,1.0,176.0
12,1.0,171.0
13,1.0,97.0
14,1.0,63.0
15,1.0,106.0
16,1.0,25.0
17,1.0,110.0
18,1.0,73.0
19,1.0,191.0
20,2.0,5.0
21,2.0,17.0
22,2.0,130.0
23,2.0,16.0
24,2.0,42.0
25,2.0,160.0
26,2.0,65.0
27,2.0,199.0
28,2.0,110.0
29,2.0,106.0
30,3.0,60.0
31,3.0,119.0
32,3.0,152.0
33,3.0,131.0
34,3.0,78.0
35,3.0,64.0
36,3.0,158.0
37,3.0,30.0
38,3.0,145.0
39,3.0,171.0
40,4.0,160.0
41,4.0,199.0
42,4.0,73.0
43,4.0,143.0
44,4.0,118.0
45,4.0,23.0
46,4.0,174.0
47,4.0,146.0
48,4.0,177.0
49,4.0,22.0
50,5.0,90.0
51,5.0,47.0
52,5.0,132.0
53,5.0,24.0
54,5.0,164.0
55,5.0,48.0
56,5.0,191.0
57,5.0,156.0
58,5.0,131.0
59,5.0,157.0
60,6.0,45.0
61,6.0,40.0
62,6.0,184.0
63,6.0,198.0
64,6.0,48.0
65,6.0,13.0
66,6.0,132.0
67,6.0,139.0
68,6.0,28.0
69,6.0,133.0
70,7.0,111.0
71,7.0,107.0
72,7.0,30.0
73,7.0,0.0
74,7.0,75.0
75,7.0,2.0
76,7.0,7.0
77,7.0,195.0
78,7.0,9.0
79,7.0,37.0
80,8.0,196.0
81,8.0,101.0
82,8.0,14.0
83,8.0,145.0
84,8.0,13.0
85,8.0,13.0
86,8.0,18.0
87,8.0,61.0
88,8.0,18.0
89,8.0,22.0
90,9.0,47.0
91,9.0,106.0
92,9.0,61.0
93,9.0,62.0
94,9.0,68.0
95,9.0,186.0
96,9.0,137.0
97,9.0,80.0
98,9.0,39.0
99,9.0,53.0
100,10.0,48.0
101,10.0,13.0
102,10.0,25.0
103,10.0,28.0
104,10.0,22.0
105,10.0,194.0
106,10.0,155.0
107,10.0,44.0
108,10.0,155.0
109,10.0,198.0
110,11.0,114.0
111,11.0,108.0
112,11.0,92.0
113,11.0,40.0
114,11.0,145.0
115,11.0,125.0
116,11.0,75.0
117,11.0,52.0
118,11.0,147.0
119,11.0,170.0
120,12.0,45.0
121,12.0,87.0
122,12.0,83.0
123,12.0,108.0
124,12.0,13.0
125,12.0,2.0
126,12.0,154.0
127,12.0,61.0
128,12.0,178.0
129,12.0,43.0
130,13.0,133.0
131,13.0,60.0
132,13.0,75.0
133,13.0,172.0
134,13.0,45.0
135,13.0,171.0
136,13.0,19.0
137,13.0,95.0
138,13.0,56.0
139,13.0,44.0
140,14.0,93.0
141,14.0,94.0
142,14.0,61.0
143,14.0,93.0
144,14.0,116.0
145,14.0,60.0
146,14.0,172.0
147,14.0,158.0
148,14.0,69.0
149,14.0,103.0
150,15.0,39.0
151,15.0,109.0
152,15.0,1.0
153,15.0,33.0
154,15.0,85.0
155,15.0,188.0
156,15.0,9.0
157,15.0,4.0
158,15.0,182.0
159,15.0,17.0
160,16.0,86.0
161,16.0,34.0
162,16.0,4.0
163,16.0,120.0
164,16.0,85.0
165,16.0,133.0
166,16.0,187.0
167,16.0,24.0
168,16.0,50.0
169,16.0,0.0
170,17.0,72.0
171,17.0,121.0
172,17.0,70.0
173,17.0,130.0
174,17.0,1.0
175,17.0,122.0
176,17.0,196.0
177,17.0,57.0
178,17.0,108.0
179,17.0,95.0
180,18.0,49.0
181,18.0,22.0
182,18.0,154.0
183,18.0,45.0
184,18.0,195.0
185,18.0,14.0
186,18.0,22.0
187,18.0,194.0
188,18.0,108.0
189,18.0,178.0
190,19.0,21.0
191,19.0,3.0
192,19.0,58.0
193,19.0,171.0
194,19.0,15.0
195,19.0,17.0
196,19.0,151.0
197,19.0,47.0
198,19.0,198.0
199,19.0,67.0
200,20.0,11.0
201,20.0,158.0
202,20.0,60.0
203,20.0,152.0
204,20.0,46.0
205,20.0,153.0
206,20.0,58.0
207,20.0,67.0
208,20.0,123.0
209,20.0,168.0
210,21.0,198.0
211,21.0,76.0
212,21.0,108.0
213,21.0,147.0
214,21.0,192.0
215,21.0,198.0
216,21.0,188.0
217,21.0,121.0
218,21.0,45.0
219,21.0,178.0
220,22.0,48.0
221,22.0,132.0
222,22.0,174.0
223,22.0,83.0
224,22.0,178.0
225,22.0,13.0
226,22.0,196.0
227,22.0,18.0
228,22.0,14.0
229,22.0,121.0
230,23.0,52.0
231,23.0,198.0
232,23.0,87.0
233,23.0,53.0
234,23.0,155.0
235,23.0,52.0
236,23.0,169.0
237,23.0,41.0
238,23.0,37.0
239,23.0,189.0
240,24.0,45.0
241,24.0,53.0
242,24.0,53.0
243,24.0,44.0
244,24.0,35.0
245,24.0,45.0
246,24.0,184.0
247,24.0,178.0
248,24.0,22.0
249,24.0,196.0
250,25.0,10.0
251,25.0,75.0
252,25.0,151.0
253,25.0,189.0
254,25.0,158.0
255,25.0,164.0
256,25.0,61.0
257,25.0,112.0
258,25.0,45.0
259,25.0,164.0
260,26.0,140.0
261,26.0,141.0
262,26.0,47.0
263,26.0,105.0
264,26.0,21.0
265,26.0,16.0
266,26.0,30.0
267,26.0,8.0
268,26.0,138.0
269,26.0,138.0
270,27.0,7.0
271,27.0,168.0
272,27.0,23.0
273,27.0,128.0
274,27.0,176.0
275,27.0,153.0
276,27.0,182.0
277,27.0,8.0
278,27.0,2.0
279,27.0,189.0
280,28.0,169.0
281,28.0,86.0
282,28.0,87.0
283,28.0,62.0
284,28.0,123.0
285,28.0,175.0
286,28.0,69.0
287,28.0,194.0
288,28.0,151.0
289,28.0,159.0
290,29.0,23.0
291,29.0,169.0
292,29.0,106.0
293,29.0,105.0
294,29.0,63.0
295,29.0,62.0
296,29.0,107.0
297,29.0,183.0
298,29.0,193.0
299,29.0,9.0
300,30.0,178.0
301,30.0,49.0
302,30.0,192.0
303,30.0,18.0
304,30.0,198.0
305,30.0,43.0
306,30.0,83.0
307,30.0,56.0
308,30.0,13.0
309,30.0,139.0
310,31.0,176.0
311,31.0,54.0
312,31.0,51.0
313,31.0,138.0
314,31.0,74.0
315,31.0,86.0
316,31.0,167.0
317,31.0,111.0
318,31.0,62.0
319,31.0,133.0
320,32.0,148.0
321,32.0,105.0
322,32.0,117.0
323,32.0,150.0
324,32.0,38.0
325,32.0,104.0
326,32.0,140.0
327,32.0,50.0
328,32.0,137.0
329,32.0,146.0
330,33.0,87.0
331,33.0,61.0
332,33.0,69.0
333,33.0,140.0
334,33.0,133.0
335,33.0,143.0
336,33.0,145.0
337,33.0,143.0
338,33.0,76.0
339,33.0,115.0
340,34.0,0.0
341,34.0,142.0
342,34.0,61.0
343,34.0,64.0
344,34.0,115.0
345,34.0,16.0
346,34.0,7.0
347,34.0,143.0
348,34.0,74.0
349,34.0,183.0
350,35.0,86.0
351,35.0,125.0
352,35.0,177.0
353,35.0,5.0
354,35.0,10.0
355,35.0,71.0
356,35.0,109.0
357,35.0,166.0
358,35.0,47.0
359,35.0,52.0
360,36.0,163.0
361,36.0,159.0
362,36.0,24.0
363,36.0,162.0
364,36.0,167.0
365,36.0,80.0
366,36.0,30.0
367,36.0,7.0
368,36.0,165.0
369,36.0,154.0
370,37.0,147.0
371,37.0,145.0
372,37.0,25.0
373,37.0,41.0
374,37.0,16.0
375,37.0,114.0
376,37.0,184.0
377,37.0,189.0
378,37.0,22.0
379,37.0,44.0
380,38.0,15.0
381,38.0,178.0
382,38.0,52.0
383,38.0,178.0
384,38.0,36.0
385,38.0,61.0
386,38.0,28.0
387,38.0,13.0
388,38.0,13.0
389,38.0,173.0
390,39.0,103.0
391,39.0,156.0
392,39.0,165.0
393,39.0,162.0
394,39.0,195.0
395,39.0,104.0
396,39.0,180.0
397,39.0,3.0
398,39.0,179.0
399,39.0,65.0
400,40.0,100.0
401,40.0,66.0
402,40.0,19.0
403,40.0,58.0
404,40.0,157.0
405,40.0,93.0
406,40.0,148.0
407,40.0,166.0
408,40.0,193.0
409,40.0,148.0
410,41.0,41.0
411,41.0,158.0
412,41.0,12.0
413,41.0,100.0
414,41.0,166.0
415,41.0,157.0
416,41.0,175.0
417,41.0,197.0
418,41.0,160.0
419,41.0,77.0
420,42.0,107.0
421,42.0,154.0
422,42.0,185.0
423,42.0,135.0
424,42.0,41.0
425,42.0,118.0
426,42.0,91.0
427,42.0,136.0
428,42.0,162.0
429,42.0,132.0
430,43.0,78.0
431,43.0,127.0
432,43.0,105.0
433,43.0,134.0
434,43.0,170.0
435,43.0,29.0
436,43.0,126.0
437,43.0,97.0
438,43.0,159.0
439,43.0,119.0
440,44.0,22.0
441,44.0,185.0
442,44.0,101.0
443,44.0,133.0
444,44.0,133.0
445,44.0,160.0
446,44.0,102.0
447,44.0,36.0
448,44.0,22.0
449,44.0,53.0
450,45.0,139.0
451,45.0,191.0
452,45.0,0.0
453,45.0,19.0
454,45.0,44.0
455,45.0,87.0
456,45.0,50.0
457,45.0,182.0
458,45.0,139.0
459,45.0,104.0
460,46.0,170.0
461,46.0,31.0
462,46.0,120.0
463,46.0,43.0
464,46.0,12.0
465,46.0,144.0
466,46.0,98.0
467,46.0,166.0
468,46.0,14.0
469,46.0,126.0
470,47.0,18.0
471,47.0,22.0
472,47.0,45.0
473,47.0,13.0
474,47.0,139.0
475,47.0,93.0
476,47.0,173.0
477,47.0,196.0
478,47.0,178.0
479,47.0,108.0
480,48.0,144.0
481,48.0,69.0
482,48.0,191.0
483,48.0,96.0
484,48.0,101.0
485,48.0,70.0
486,48.0,94.0
487,48.0,171.0
488,48.0,191.0
489,48.0,192.0
490,49.0,163.0
491,49.0,162.0
492,49.0,96.0
493,49.0,189.0
494,49.0,187.0
495,49.0,193.0
496,49.0,165.0
497,49.0,117.0
498,49.0,64.0
499,49.0,63.0
500,50.0,110.0
501,50.0,156.0
502,50.0,149.0
503,50.0,122.0
504,50.0,94.0
505,50.0,134.0
506,50.0,23.0
507,50.0,27.0
508,50.0,138.0
509,50.0,5.0
510,51.0,176.0
511,51.0,24.0
512,51.0,148.0
513,51.0,84.0
